publication,authors,publication_url,authors_link,research_area
"Blockchain Technology in Higher Education Ecosystem: Unraveling the Good, Bad, and Ugly","Sharaban Tahora,Bilash Saha,Nazmus Sakib,Hossain Shahriar,Hisham Haddad",content/blockchain-technology-in-higher-education-ecosystem-unraveling-the-good-bad-and-ugly,"https://arxiv.org/find/cs/1/au:+Tahora_S/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Saha_B/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Sakib_N/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Shahriar_H/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Haddad_H/0/1/0/all/0/1",computers and society
gaetrhasertnh,nome aleatorio,content/gaetrhasertnh,NONE,<QuerySet [<ResearchArea: machine learning>]>
testing,nome aleatorio,content/testing,NONE,machine learning
EduChain: A Blockchain-based Education Data Management System,"Yihan Liu,Ke Li,Zihao Huang,Bowen Li,Guiyan Wang,Wei Cai",content/educhain-a-blockchain-based-education-data-management-system,"https://arxiv.org/find/cs/1/au:+Liu_Y/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Li_K/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Huang_Z/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Li_B/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Wang_G/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Cai_W/0/1/0/all/0/1",cryptography and security
Reversible Numeric Composite Key (RNCK),Nicola Asuni,content/reversible-numeric-composite-key-rnck,https://arxiv.org/find/cs/1/au:+Asuni_N/0/1/0/all/0/1,databases
Correlative Information Maximization: A Biologically Plausible Approach to Supervised Deep Neural Networks without Weight Symmetry,"Bariscan Bozkurt,Cengiz Pehlevan,Alper T Erdogan",content/correlative-information-maximization-a-biologically-plausible-approach-to-supervised-deep-neural-networks-without-weight-symmetry,"https://arxiv.org/find/cs/1/au:+Bozkurt_B/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Pehlevan_C/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Erdogan_A/0/1/0/all/0/1",neural and evolutionary computing
